EventTime,EventReceivedTime,Date,Hour,DayOfWeek,MonthYear,Hostname,Keywords,EventType,SeverityValue,Severity,EventID,SourceName,ProviderGuid,Version,Task,OpcodeValue,RecordNumber,ProcessID,ThreadID,Channel,Domain,AccountName,UserID,AccountType,LogonType,IpAddress,IpPort,DeviceInstanceId,DeviceCount,Opcode,SourceModuleType,Message
2025-02-25 12:00:00,2025-02-25 12:00:06,2025-02-25,12,Tuesday,Feb-2025,DESKTOP-RKJA15K,-9214364837600034816,WARNING,2,INFO,11707,Microsoft-Windows-Shell-Core,e4012708-4cc6-460d-a2db-db25178caa6e,0,27,0,366661,7976,1608,Microsoft-Windows-AppLocker/MSI and Script,DESKTOP-RKJA15K,Robot,3256,User,,161.54.137.185,24735,13061,4,,im_msvistalog,Application svchost.exe performed an action.
2025-02-12 16:00:00,2025-02-12 16:00:02,2025-02-12,16,Wednesday,Feb-2025,DESKTOP-RKJA15K,4611686018427387905,INFO,2,INFO,4799,Microsoft-Windows-Winlogon,f654ab6d-a2d9-4237-a6d9-1e2a6c79e8df,0,62170,0,157907,3925,7420,Security,DESKTOP-RKJA15K,doris,9141,Well Known Group,,70.216.89.61,21124,72224,2,Info,im_msvistalog,Application services.exe performed an action.
2025-01-30 10:00:00,2025-01-30 10:00:26,2025-01-30,10,Thursday,Jan-2025,DESKTOP-RKJA15K,72057594037927936,INFO,3,INFO,2007,Microsoft-Windows-Security-Auditing,cc840763-55a4-4760-9af7-e91944cd88ee,0,13824,0,559723,3880,8302,Application,DESKTOP-RKJA15K,Robot,4013,,,102.159.87.63,40965,43008,1,Info,im_msvistalog,Application None performed an action.
2025-01-15 13:00:00,2025-01-15 13:00:18,2025-01-15,13,Wednesday,Jan-2025,DESKTOP-RKJA15K,-9223336852482686720,INFO,3,WARNING,257,Microsoft-Windows-Winlogon,c51b75fb-2feb-466b-b6a7-3784b40d3a53,2,8001,0,231195,6346,6542,Microsoft-Windows-GroupPolicy/Operational,,Robot,2337,User,,92.224.244.224,15863,95905,4,Info,im_msvistalog,Application RuntimeBroker.exe performed an action.
2025-03-04 13:00:00,2025-03-04 13:00:02,2025-03-04,13,Tuesday,Mar-2025,DESKTOP-RKJA15K,-9214364837600034816,WARNING,2,INFO,4672,Microsoft-Windows-Security-Auditing,badb4a84-4bf2-4cf7-bb3c-8fb73378afdd,0,12544,0,910806,7546,1713,Application,,doris,1782,User,,79.94.65.95,41663,84123,8,Info,im_msvistalog,Application services.exe performed an action.
2025-03-05 12:00:00,2025-03-05 12:00:02,2025-03-05,12,Wednesday,Mar-2025,DESKTOP-RKJA15K,2305843009280868352,INFO,2,INFO,8001,Microsoft-Windows-Security-LessPrivilegedAppContainer,e1a6df8f-46c3-41b0-8a3d-64d92ee33f7b,0,13826,0,857162,4931,2693,Security,DESKTOP-RKJA15K,Robot,2425,User,,130.176.51.236,52506,36808,6,Info,im_msvistalog,Application services.exe performed an action.
2025-01-23 11:00:00,2025-01-23 11:00:13,2025-01-23,11,Thursday,Jan-2025,DESKTOP-RKJA15K,-9214364837600034816,ERROR,2,WARNING,4799,Microsoft-Windows-RestartManager,8e6768fd-4ec5-4acb-a2d9-d4989e43998b,2,0,1,247409,1286,3311,System,DESKTOP-RKJA15K,Robot,3436,User,,35.247.131.168,8318,47020,3,Info,im_msvistalog,Application svchost.exe performed an action.
2025-02-26 17:00:00,2025-02-26 17:00:24,2025-02-26,17,Wednesday,Feb-2025,DESKTOP-RKJA15K,-9214364837600034816,WARNING,2,INFO,10016,Microsoft-Windows-WebAuthN,04fbf72d-b6d5-4477-bc11-461a3700393d,0,0,0,444804,5440,7241,Security,DESKTOP-RKJA15K,doris,3274,Well Known Group,,207.190.114.248,18738,45812,7,Info,im_msvistalog,Application winlogon.exe performed an action.
2025-01-03 17:00:00,2025-01-03 17:00:14,2025-01-03,17,Friday,Jan-2025,DESKTOP-RKJA15K,36028797018963968,AUDIT_SUCCESS,2,INFO,16,Microsoft-Windows-Kernel-ShimEngine,6b5149c8-632e-4304-a159-70f0c00a8017,0,0,0,633726,6566,4952,Application,NT AUTHORITY,doris,9069,,,124.120.194.250,2893,93781,5,Info,im_msvistalog,Application winlogon.exe performed an action.
2025-01-06 15:00:00,2025-01-06 15:00:24,2025-01-06,15,Monday,Jan-2025,DESKTOP-RKJA15K,-9214364837600034816,WARNING,2,INFO,4117,Microsoft-Windows-PCI,bc925ff3-b8f8-4e6e-b75a-7c7a27b75ef3,0,62170,0,796914,1963,9351,Windows PowerShell,DESKTOP-RKJA15K,Robot,2509,User,,66.250.131.67,4437,15481,4,Info,im_msvistalog,Application trojan.exe performed an action.
2025-02-20 11:00:00,2025-02-20 11:00:23,2025-02-20,11,Thursday,Feb-2025,DESKTOP-RKJA15K,-9214364837600034816,WARNING,2,INFO,62170,Microsoft-Windows-Store,cff1652d-01bc-4a78-a232-d56f78013b7e,0,28180,14,367677,5728,4884,Microsoft-Windows-Shell-Core/Operational,DESKTOP-RKJA15K,doris,2613,User,,218.255.23.148,48812,77274,3,Info,im_msvistalog,Application services.exe performed an action.
2025-01-27 16:00:00,2025-01-27 16:00:30,2025-01-27,16,Monday,Jan-2025,DESKTOP-RKJA15K,2305878193585782784,ERROR,3,WARNING,1040,Microsoft-Windows-RestartManager,1a4c1938-e749-4954-92ce-ac3cdfb11b1f,0,13826,0,332547,1944,8729,Microsoft-Windows-Storage-Storport/Operational,NT AUTHORITY,Robot,9230,,,45.19.36.186,25203,50214,10,Info,im_msvistalog,Application svchost.exe performed an action.
2025-02-05 12:00:00,2025-02-05 12:00:11,2025-02-05,12,Wednesday,Feb-2025,DESKTOP-RKJA15K,36028797018963968,INFO,2,DEBUG,5857,Microsoft-Windows-WMI-Activity,668c4e4c-3c8c-4efe-974e-1f1556d66b77,0,811,0,504061,9777,1309,Security,NT AUTHORITY,doris,6071,,,217.199.209.199,28241,23148,9,Info,im_msvistalog,Application opera.exe performed an action.
2025-01-30 09:00:00,2025-01-30 09:00:30,2025-01-30,9,Thursday,Jan-2025,DESKTOP-RKJA15K,-9223372036854775808,INFO,3,WARNING,4624,Microsoft-Windows-Winlogon,4e701839-a045-4cdd-a093-0f6a7c484516,0,0,0,839878,8251,6524,Microsoft-Windows-Crypto-NCrypt/Operational,,Robot,6311,User,,50.65.116.219,6950,13867,2,Info,im_msvistalog,Application opera.exe performed an action.
2025-01-28 12:00:00,2025-01-28 12:00:10,2025-01-28,12,Tuesday,Jan-2025,DESKTOP-RKJA15K,2306124492780339200,INFO,2,INFO,5858,Microsoft-Windows-AppModel-Runtime,dda3bfca-54b6-4d4c-a512-35d82270cbef,1,7,0,968077,9450,4348,Microsoft-Windows-Diagnosis-PCW/Operational,,Robot,4060,,,133.51.39.74,38657,24183,5,Info,im_msvistalog,Application malware.exe performed an action.
2025-02-03 14:00:00,2025-02-03 14:00:27,2025-02-03,14,Monday,Feb-2025,DESKTOP-RKJA15K,-9214364837600034816,INFO,1,INFO,1025,Microsoft-Windows-GroupPolicy,610fab99-19a2-459b-97b2-4d3c14ccba3d,0,0,14,418966,5415,5638,Microsoft-Windows-WMI-Activity/Operational,NT AUTHORITY,doris,5202,User,,146.40.34.188,48092,91653,2,NetworkHintReceived,im_msvistalog,Application chrome.exe performed an action.
2025-02-04 11:00:00,2025-02-04 11:00:16,2025-02-04,11,Tuesday,Feb-2025,DESKTOP-RKJA15K,-9223372036854775808,INFO,2,INFO,4624,Microsoft-Windows-Security-Auditing,6dd8bf30-87ee-4c1e-89a0-ac7da08f5bb2,0,13826,12,864310,7843,2398,Microsoft-Windows-PowerShell/Operational,NT AUTHORITY,Robot,5994,User,,128.119.73.9,52979,50522,6,Info,im_msvistalog,Application trojan.exe performed an action.
2025-01-15 09:00:00,2025-01-15 09:00:30,2025-01-15,9,Wednesday,Jan-2025,DESKTOP-RKJA15K,-9214364837600034816,INFO,2,INFO,267,MsiInstaller,0744fa49-8233-4a95-abf2-d707ee705c7d,0,0,0,816603,2214,5471,Microsoft-Windows-Shell-Core/Operational,,doris,4702,,,90.8.177.57,62350,41414,5,Info,im_msvistalog,Application RuntimeBroker.exe performed an action.
2025-02-19 15:00:00,2025-02-19 15:00:03,2025-02-19,15,Wednesday,Feb-2025,DESKTOP-RKJA15K,-9223372036749918208,INFO,2,ERROR,303,edgeupdate,294afed0-5311-479c-bbec-6c02c64d4496,0,0,0,229582,9437,7208,Microsoft-Windows-Bits-Client/Operational,NT AUTHORITY,Robot,6453,User,,193.87.76.46,14744,99105,8,Info,im_msvistalog,Application opera.exe performed an action.
2025-01-09 16:00:00,2025-01-09 16:00:09,2025-01-09,16,Thursday,Jan-2025,DESKTOP-RKJA15K,-9214364837600034816,INFO,2,WARNING,5507,Microsoft-Windows-Security-Auditing,d6e95003-e717-439b-9ea0-53b001871fa2,0,0,1,621580,9866,3085,Microsoft-Windows-Shell-Core/Operational,,Robot,3347,,,113.231.39.198,17877,28428,7,Start,im_msvistalog,Application opera.exe performed an action.
2025-01-20 15:00:00,2025-01-20 15:00:25,2025-01-20,15,Monday,Jan-2025,DESKTOP-RKJA15K,-9223372036854775808,AUDIT_SUCCESS,2,INFO,1267,Microsoft-Windows-HttpService,c7606dfd-4d24-49ad-a609-9ce7ce57af17,0,13824,0,643927,6322,6817,Microsoft-Windows-Bits-Client/Operational,NT AUTHORITY,doris,1970,User,131072,40.241.218.105,2239,71508,4,Info,im_msvistalog,Application None performed an action.
2025-02-28 11:00:00,2025-02-28 11:00:21,2025-02-28,11,Friday,Feb-2025,DESKTOP-RKJA15K,-9223336852482686720,INFO,2,INFO,40962,Microsoft-Windows-Security-Auditing,11f790f5-6dc9-489f-95b2-3c86edded9cc,0,62170,0,226454,7492,3641,Microsoft-Windows-Dhcp-Client/Admin,DESKTOP-RKJA15K,doris,9529,User,2,4.211.39.245,39988,87545,4,Info,im_msvistalog,Application malware.exe performed an action.
2025-01-15 13:00:00,2025-01-15 13:00:04,2025-01-15,13,Wednesday,Jan-2025,DESKTOP-RKJA15K,2306124492780339200,INFO,2,ERROR,5058,Microsoft-Windows-RestartManager,6063b8ae-cce4-483f-86c3-f506be37198d,0,13826,0,700763,4185,1683,System,NT AUTHORITY,Robot,4851,User,,124.252.161.168,27305,90536,7,Info,im_msvistalog,Application None performed an action.
2025-01-07 16:00:00,2025-01-07 16:00:00,2025-01-07,16,Tuesday,Jan-2025,DESKTOP-RKJA15K,4611686018427387904,INFO,2,INFO,811,Microsoft-Windows-AppLocker,e7199f19-d2a2-4dd8-aa56-79536bc45c19,0,4,0,881176,6463,6890,Application,NT AUTHORITY,Robot,6018,Well Known Group,,11.193.219.153,30015,66443,8,Info,im_msvistalog,Application winlogon.exe performed an action.
2025-02-20 13:00:00,2025-02-20 13:00:00,2025-02-20,13,Thursday,Feb-2025,DESKTOP-RKJA15K,-9223372036854775808,INFO,2,INFO,60,Microsoft-Windows-GroupPolicy,df25e0e7-312a-41e7-9482-18fe7161d6a8,0,0,0,292837,3727,6377,Microsoft-Windows-GroupPolicy/Operational,DESKTOP-RKJA15K,doris,2694,User,,64.110.212.247,1329,99579,8,Info,im_msvistalog,Application RuntimeBroker.exe performed an action.
2025-01-24 12:00:00,2025-01-24 12:00:07,2025-01-24,12,Friday,Jan-2025,DESKTOP-RKJA15K,-9214364837600034816,INFO,2,INFO,647,Microsoft-Windows-Bits-Client,e91e8c5e-6a4c-440f-b5f9-0715ec4c0aef,0,0,0,654075,6132,8962,Microsoft-Windows-WMI-Activity/Operational,NT AUTHORITY,doris,7319,User,,3.1.31.24,32944,19286,4,Info,im_msvistalog,Application winlogon.exe performed an action.
2025-03-07 17:00:00,2025-03-07 17:00:29,2025-03-07,17,Friday,Mar-2025,DESKTOP-RKJA15K,2305843009213693953,WARNING,2,INFO,7002,Microsoft-Windows-Kernel-ShimEngine,7d1417fd-82c8-46ca-be88-585ba591f37f,0,0,0,927836,7656,7394,Security,NT AUTHORITY,doris,2408,User,,97.171.34.61,2515,52974,5,Info,im_msvistalog,Application RuntimeBroker.exe performed an action.
